filename,genre
blues.00001.mp3,blues
blues.00002.mp3,blues
blues.00003.mp3,blues
blues.00004.mp3,blues
blues.00005.mp3,blues
blues.00006.mp3,blues
blues.00007.mp3,blues
blues.00008.mp3,blues
blues.00009.mp3,blues
blues.00010.mp3,blues
blues.00011.mp3,blues
blues.00012.mp3,blues
blues.00013.mp3,blues
blues.00014.mp3,blues
blues.00015.mp3,blues
blues.00016.mp3,blues
blues.00017.mp3,blues
blues.00018.mp3,blues
blues.00019.mp3,blues
blues.00020.mp3,blues
classical.00001.mp3,classical
classical.00002.mp3,classical
classical.00003.mp3,classical
classical.00004.mp3,classical
classical.00005.mp3,classical
classical.00006.mp3,classical
classical.00007.mp3,classical
classical.00008.mp3,classical
classical.00009.mp3,classical
classical.00010.mp3,classical
classical.00011.mp3,classical
classical.00012.mp3,classical
classical.00013.mp3,classical
classical.00014.mp3,classical
classical.00015.mp3,classical
classical.00016.mp3,classical
classical.00017.mp3,classical
classical.00018.mp3,classical
classical.00019.mp3,classical
classical.00020.mp3,classical
hiphop.00001.mp3,hiphop
hiphop.00002.mp3,hiphop
hiphop.00003.mp3,hiphop
hiphop.00004.mp3,hiphop
hiphop.00005.mp3,hiphop
hiphop.00006.mp3,hiphop
hiphop.00007.mp3,hiphop
hiphop.00008.mp3,hiphop
hiphop.00009.mp3,hiphop
hiphop.00010.mp3,hiphop
hiphop.00011.mp3,hiphop
hiphop.00012.mp3,hiphop
hiphop.00013.mp3,hiphop
hiphop.00014.mp3,hiphop
hiphop.00015.mp3,hiphop
hiphop.00016.mp3,hiphop
hiphop.00017.mp3,hiphop
hiphop.00018.mp3,hiphop
hiphop.00019.mp3,hiphop
hiphop.00020.mp3,hiphop
metal.00001.mp3,metal
metal.00002.mp3,metal
metal.00003.mp3,metal
metal.00004.mp3,metal
metal.00005.mp3,metal
metal.00006.mp3,metal
metal.00007.mp3,metal
metal.00008.mp3,metal
metal.00009.mp3,metal
metal.00010.mp3,metal
metal.00011.mp3,metal
metal.00012.mp3,metal
metal.00013.mp3,metal
metal.00014.mp3,metal
metal.00015.mp3,metal
metal.00016.mp3,metal
metal.00017.mp3,metal
metal.00018.mp3,metal
metal.00019.mp3,metal
metal.00020.mp3,metal
rock.00001.mp3,rock
rock.00002.mp3,rock
rock.00003.mp3,rock
rock.00004.mp3,rock
rock.00005.mp3,rock
rock.00006.mp3,rock
rock.00007.mp3,rock
rock.00008.mp3,rock
rock.00009.mp3,rock
rock.00010.mp3,rock
rock.00011.mp3,rock
rock.00012.mp3,rock
rock.00013.mp3,rock
rock.00014.mp3,rock
rock.00015.mp3,rock
rock.00016.mp3,rock
rock.00017.mp3,rock
rock.00018.mp3,rock
rock.00019.mp3,rock
rock.00020.mp3,rock
